Price_ID,Date,Price_Per_Credit_IDR,Market_Region,Volume_Traded
P001,2024-01-15,150000,Asia,1000
P002,2024-02-10,155000,Europe,1200
P003,2024-03-05,160000,North America,900
P004,2024-04-20,165000,Asia,1100
P005,2024-05-12,170000,Europe,1300
P006,2024-06-18,175000,North America,950
P007,2024-07-03,180000,Asia,1150
P008,2024-08-25,185000,Europe,1400
P009,2024-09-10,190000,North America,1000
P010,2024-10-15,195000,Asia,1200
P011,2024-11-20,200000,Europe,1100
P012,2024-12-25,205000,North America,1300
P013,2025-01-10,210000,Asia,1150
P014,2025-02-15,215000,Europe,1400
P015,2025-03-20,220000,North America,1000
P016,2025-04-25,225000,Asia,1200
P017,2025-05-30,230000,Europe,1300
P018,2025-06-05,235000,North America,950
P019,2025-07-10,240000,Asia,1150
P020,2025-07-26,245000,Europe,1400