Activity_ID,Conservation_ID,Activity_Type,Date_Performed,Participants
A001,C001,Planting,2024-01-20,5
A002,C002,Monitoring,2024-02-15,3
A003,C003,Restoration,2024-03-10,4
A004,C004,Planting,2024-04-25,6
A005,C005,Monitoring,2024-05-17,2
A006,C006,Restoration,2024-06-23,5
A007,C007,Planting,2024-07-08,3
A008,C008,Monitoring,2024-08-30,4
A009,C009,Restoration,2024-09-15,6
A010,C010,Planting,2024-10-20,5
A011,C011,Monitoring,2024-11-25,3
A012,C012,Restoration,2024-12-30,4
A013,C013,Planting,2025-01-15,6
A014,C014,Monitoring,2025-02-20,2
A015,C015,Restoration,2025-03-25,5
A016,C016,Planting,2025-04-30,3
A017,C017,Monitoring,2025-06-05,4
A018,C018,Restoration,2025-06-10,6
A019,C019,Planting,2025-07-15,5
A020,C020,Monitoring,2025-07-26,3