Permit_ID,Conservation_ID,Permit_Type,Authority,Approval_Date,Permit_Status
P101,C001,Environmental Permit,KLHK,2024-01-10,Approved
P102,C002,Environmental Permit,KLHK,2024-02-05,Approved
P103,C003,UKL-UPL,Dinas Lingkungan,2024-03-01,Pending
P104,C004,Environmental Permit,KLHK,2024-04-15,Approved
P105,C005,UKL-UPL,Dinas Lingkungan,2024-05-10,Approved
P106,C006,Environmental Permit,KLHK,2024-06-15,Pending
P107,C007,Environmental Permit,KLHK,2024-07-01,Approved
P108,C008,UKL-UPL,Dinas Lingkungan,2024-08-20,Approved
P109,C009,Environmental Permit,KLHK,2024-09-05,Pending
P110,C010,Environmental Permit,KLHK,2024-10-10,Approved
P111,C011,UKL-UPL,Dinas Lingkungan,2024-11-15,Pending
P112,C012,Environmental Permit,KLHK,2024-12-20,Approved
P113,C013,Environmental Permit,KLHK,2025-01-05,Approved
P114,C014,UKL-UPL,Dinas Lingkungan,2025-02-10,Pending
P115,C015,Environmental Permit,KLHK,2025-03-15,Approved
P116,C016,Environmental Permit,KLHK,2025-04-20,Approved
P117,C017,UKL-UPL,Dinas Lingkungan,2025-05-25,Pending
P118,C018,Environmental Permit,KLHK,2025-06-01,Approved
P119,C019,Environmental Permit,KLHK,2025-07-05,Pending
P120,C020,UKL-UPL,Dinas Lingkungan,2025-07-20,Approved
P121,C021,Environmental Permit,KLHK,2025-08-01,Approved
P122,C022,UKL-UPL,Dinas Lingkungan,2025-08-15,Pending
P123,C023,Environmental Permit,KLHK,2025-09-01,Approved
P124,C024,Environmental Permit,KLHK,2025-09-15,Approved
P125,C025,UKL-UPL,Dinas Lingkungan,2025-10-01,Pending
P126,C026,Environmental Permit,KLHK,2025-10-15,Approved
P127,C027,UKL-UPL,Dinas Lingkungan,2025-11-01,Pending
P128,C028,Environmental Permit,KLHK,2025-11-15,Approved
P129,C029,Environmental Permit,KLHK,2025-12-01,Approved
P130,C030,UKL-UPL,Dinas Lingkungan,2025-12-15,Pending