Engage_ID,Conservation_ID,Activity_Type,Participants,Benefit_Distributed,Engagement_Date
E101,C001,Workshop,10,5000000,2024-01-25
E102,C002,Consultation,8,7500000,2024-02-20
E103,C003,Training,12,3000000,2024-03-15
E104,C004,Workshop,15,6000000,2024-04-30
E105,C005,Consultation,9,4500000,2024-05-22
E106,C006,Training,11,8000000,2024-06-28
E107,C007,Workshop,10,3500000,2024-07-13
E108,C008,Consultation,8,4000000,2024-09-04
E109,C009,Training,13,5500000,2024-09-20
E110,C010,Workshop,12,7000000,2024-10-25
E111,C011,Consultation,10,4500000,2024-11-30
E112,C012,Training,11,6000000,2025-01-04
E113,C013,Workshop,14,5000000,2025-01-20
E114,C014,Consultation,9,7500000,2025-02-25
E115,C015,Training,12,3000000,2025-03-30
E116,C016,Workshop,10,6500000,2025-05-05
E117,C017,Consultation,8,4000000,2025-06-10
E118,C018,Training,11,5500000,2025-06-15
E119,C019,Workshop,13,7000000,2025-07-20
E120,C020,Consultation,10,4500000,2025-07-30
E121,C021,Training,12,5000000,2025-08-10
E122,C022,Workshop,9,6000000,2025-08-25
E123,C023,Consultation,11,7500000,2025-09-10
E124,C024,Training,10,3000000,2025-09-25
E125,C025,Workshop,12,6500000,2025-10-10
E126,C026,Consultation,8,4000000,2025-10-25
E127,C027,Training,11,5500000,2025-11-10
E128,C028,Workshop,13,7000000,2025-11-25
E129,C029,Consultation,10,4500000,2025-12-10
E130,C030,Training,12,5000000,2025-12-25